epoch,train_accuracy,val_accuracy,train_loss,val_loss
1,0.6498,0.6019,0.9636,1.0461
2,0.6353,0.3981,0.9479,1.0194
3,0.6256,0.3981,0.9319,1.0099
4,0.6087,0.3981,0.9145,1.0181
5,0.6304,0.3981,0.9041,1.0553
6,0.6667,0.3981,0.8807,1.1624
7,0.6739,0.3981,0.8410,1.0536
8,0.6401,0.4272,0.9095,0.9519
9,0.6232,0.4078,0.8760,0.9842
10,0.6449,0.4660,0.8867,0.9040
11,0.6449,0.7087,0.8845,0.8273
12,0.6498,0.6893,0.8638,0.8184
13,0.6981,0.5728,0.8405,0.8550
14,0.6618,0.7573,0.8668,0.9546
15,0.7005,0.7670,0.8736,0.7852
16,0.6836,0.6505,0.8537,0.7980
17,0.6884,0.7864,0.8257,0.7919
18,0.6957,0.7864,0.8798,0.7843
19,0.7488,0.7184,0.8080,0.7521
20,0.6812,0.7961,0.8546,0.7678
21,0.7150,0.7476,0.8505,0.9282
22,0.7319,0.7670,0.8391,0.7454
23,0.7029,0.7379,0.8238,0.9548
24,0.6812,0.6699,0.8681,1.0813
25,0.7101,0.7573,0.8375,0.7383
26,0.7222,0.7864,0.8254,0.7408
27,0.7464,0.7864,0.8220,0.7323
28,0.7585,0.5631,0.8019,0.8783
29,0.7126,0.8058,0.8372,0.7612
30,0.7512,0.7864,0.8035,0.9004
